id;start_date;end_date;language
1;2020-02-24T16:17:00;2020-02-24T14:07:15;SPANISH
2;2020-02-23T21:07:11;2020-02-24T16:11:36;SPANISH
3;2020-02-24T12:02:30;2020-02-23T22:36:39;FRENCH
4;2020-02-24T03:20:01;2020-02-24T14:51:27;FRENCH
5;2020-02-24T12:50:19;2020-02-24T17:37:18;FRENCH
6;2020-02-24T06:42:40;2020-02-24T18:50:54;FRENCH
7;2020-02-24T08:28:00;2020-02-24T02:18:51;FRENCH
8;2020-02-24T07:24:13;2020-02-24T17:40:21;SPANISH
9;2020-02-24T06:05:22;2020-02-24T02:46:45;SPANISH
10;2020-02-24T14:17:26;2020-02-24T00:51:56;SPANISH
